airport_id,airport_name,city,country,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_altitude,airport_timezone,
7210,Nondalton Airport,Nondalton,United States,NNL,PANO,59.98020172,-154.8390045,314,-9,A
7213,Kongiganak Airport,Kongiganak,United States,KKH,PADY,59.96080017,-162.8809967,30,-9,A
7214,Nikolai Airport,Nikolai,United States,NIB,PAFS,63.01860046,-154.3580017,441,-9,A
7217,Akiak Airport,Akiak,United States,AKI,PFAK,60.9029007,-161.2310028,30,-9,A
7220,Wainwright Airport,Wainwright,United States,AIN,PAWI,70.63800049,-159.9949951,41,-9,A
7221,Zapala Airport,ZAPALA,Argentina,APZ,SAHZ,-38.975498,-70.113602,3330,-3,N
7222,Rincon De Los Sauces Airport,Rincon de los Sauces,Argentina,RDS,SAHS,-37.3905983,-68.90419769,1968,-3,N
7226,Tte. Julio Gallardo Airport,Puerto Natales,Chile,PNT,SCNT,-51.67150116,-72.52839661,217,-4,S
7229,Sierra Grande Airport,Sierra Grande,Argentina,SGV,SAVS,-41.59170151,-65.33940125,688,-3,N
7230,Cabo F.A.A. H. R. Bordón Airport,Ingeniero Jacobacci,Argentina,IGB,SAVJ,-41.32089996,-69.57489777,2925,-3,N
7233,Chenega Bay Airport,Chenega,United States,NCN,PFCB,60.07730103,-147.9920044,72,-9,A
7235,Tok Junction Airport,Tok,United States,TKJ,PFTO,63.32949829,-142.9539948,1639,-9,A
7236,Circle City /New/ Airport,Circle,United States,IRC,PACR,65.830498,-144.076008,613,-9,A
7240,Sleetmute Airport,Sleetmute,United States,SLQ,PASL,61.70050049,-157.1660004,190,-9,A
7242,Healy River Airport,Healy,United States,HKB,PAHV,63.86619949,-148.9689941,1263,-9,A
7244,Klawock Seaplane Base,Klawock,United States,AQC,PAQC,55.55469894,-133.102005,0,-9,A
7245,Minchumina Airport,Lake Minchumina,United States,MHM,PAMH,63.88600159,-152.302002,678,-9,A
7246,Manley Hot Springs Airport,Manley Hot Springs,United States,MLY,PAML,64.99759674,-150.6439972,270,-9,A
7251,Natuashish Airport,Natuashish,Canada,UNKNOWN,CNH2,55.913898,-61.184399,30,-4,A
7252,Postville Airport,Postville,Canada,YSO,CCD4,54.9105,-59.78507,193,-4,A
7253,Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,Canada,YWB,CYKG,61.58860016,-71.92939758,501,-5,A
